08:04:24 [INFO] Procesando: /home/mariano/projects/notaria/input/normas/sociedades/RG/articulos_RG15-2024/Articulo_291.txt
08:04:24 [INFO] HTTP Request: POST http://127.0.0.1:11434/api/chat "HTTP/1.1 200 OK"
08:04:49 [INFO]   Nodos extraídos    : 1
08:04:49 [INFO]   Relaciones extraídas: 1
08:04:49 [INFO]     [Articulo] Art_291_RG_15_2024
08:04:49 [INFO]     Art_291_RG_15_2024 -[FISCALIZA]-> InspeccionGeneralDeJusticia
08:04:50 [INFO] HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-embedding-001:batchEmbedContents "HTTP/1.1 200 OK"
08:04:52 [INFO]   Guardado en Neo4j correctamente.
08:04:52 [INFO] Procesando: /home/mariano/projects/notaria/input/normas/sociedades/RG/articulos_RG15-2024/Articulo_292.txt
08:04:53 [INFO] HTTP Request: POST http://127.0.0.1:11434/api/chat "HTTP/1.1 200 OK"
08:05:15 [INFO]   Nodos extraídos    : 1
08:05:15 [INFO]   Relaciones extraídas: 2
08:05:15 [INFO]     [Articulo] Art_292_RG_15_2024
08:05:15 [INFO]     Art_292_RG_15_2024 -[REGULA]-> AsociacionCivil
08:05:15 [INFO]     Art_292_RG_15_2024 -[FISCALIZA]-> InspeccionGeneralDeJusticia
08:05:15 [INFO] HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-embedding-001:batchEmbedContents "HTTP/1.1 200 OK"
08:05:17 [INFO]   Guardado en Neo4j correctamente.
08:05:18 [INFO] Procesando: /home/mariano/projects/notaria/input/normas/sociedades/RG/articulos_RG15-2024/Articulo_293.txt
08:05:18 [INFO] HTTP Request: POST http://127.0.0.1:11434/api/chat "HTTP/1.1 200 OK"
08:05:36 [INFO]   Nodos extraídos    : 1
08:05:36 [INFO]   Relaciones extraídas: 0
08:05:36 [INFO]     [Articulo] Art_293_RG_15_2024
08:05:38 [INFO] HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-embedding-001:batchEmbedContents "HTTP/1.1 200 OK"
08:05:39 [INFO]   Guardado en Neo4j correctamente.
08:05:39 [INFO] Procesando: /home/mariano/projects/notaria/input/normas/sociedades/RG/articulos_RG15-2024/Articulo_294.txt
08:05:40 [INFO] HTTP Request: POST http://127.0.0.1:11434/api/chat "HTTP/1.1 200 OK"
08:06:03 [INFO]   Nodos extraídos    : 1
08:06:03 [INFO]   Relaciones extraídas: 1
08:06:03 [INFO]     [Articulo] Art_294_RG_15_2024
08:06:03 [INFO]     Art_294_RG_15_2024 -[REGULA]-> AsociacionCivil
08:06:04 [INFO] HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-embedding-001:batchEmbedContents "HTTP/1.1 200 OK"
